lookback,type,profit_factor,log_profit_factor,mean_return,sharpe,n_trades,runs_z_score
126,All Trades,1.0245910503722233,0.024293557731960264,6.0013891295748906e-05,0.007157646467157682,43691.0,
126,After Loser,1.0442655006918364,0.04331376813639027,0.00010528703360720503,0.012407476709035668,30242.0,
126,After Winner,0.9901328035147071,-0.00991619988578199,-2.525889165554883e-05,-0.003126274454358681,13269.0,
126,Runs Z-Score,,,,,,1.0251229293096542
132,All Trades,1.0226729006586721,0.02241969063840418,5.538516448919681e-05,0.006605569349381319,43691.0,
132,After Loser,1.0488927556089205,0.047735089305950384,0.00011937271804085554,0.013746645805114525,30531.0,
132,After Winner,0.9682984616058962,-0.03221491112363738,-7.682954525998807e-05,-0.010165678556048949,12980.0,
132,Runs Z-Score,,,,,,1.7110644920610678
138,All Trades,1.0176444277988317,0.017490572044183045,4.3209074799394576e-05,0.0051533313254299605,43691.0,
138,After Loser,1.0430065936929545,0.04210749785191666,0.00010483482755641889,0.01212470277323694,31204.0,
138,After Winner,0.9617811973220712,-0.03896829979725885,-9.378571950239818e-05,-0.01233947433424069,12307.0,
138,Runs Z-Score,,,,,,1.9468430552901514
144,All Trades,1.0199878122977242,0.0197906784970717,4.881361909216519e-05,0.005836000513119779,43691.0,
144,After Loser,1.0436310579628483,0.04270603424661934,0.0001040325120714754,0.012445283080954848,30027.0,
144,After Winner,0.9636465052771651,-0.03703074739150166,-8.687302865381883e-05,-0.011615307386599157,13014.0,
144,Runs Z-Score,,,,,,1.932192066536544
150,All Trades,1.022631117335027,0.022378832826281152,5.507396688274874e-05,0.006601236730519609,43691.0,
150,After Loser,1.0469130561561963,0.045845887519773316,0.00011226795510748645,0.013384793341314451,30430.0,
150,After Winner,0.9614618720973236,-0.03930036934453493,-9.08638887147178e-05,-0.012326885292406987,12611.0,
150,Runs Z-Score,,,,,,1.824455531789157
156,All Trades,1.0207776847544985,0.02056477282330139,5.0609921366838215e-05,0.006066149916862235,43691.0,
156,After Loser,1.0445685860937317,0.043603963902477824,0.00010677784885366512,0.012725197456986893,30268.0,
156,After Winner,0.9616558255163442,-0.03909866206482045,-9.046945258540957e-05,-0.012265061298391569,12773.0,
156,Runs Z-Score,,,,,,1.4389191788561762
162,All Trades,1.0249534272627054,0.024647174741215326,6.0655782649137164e-05,0.007270314107770354,43691.0,
162,After Loser,1.0526702677469277,0.051330048071706956,0.00012557221136956352,0.0149695743213721,30252.0,
162,After Winner,0.9585668876207146,-0.04231593528935147,-9.811207854244934e-05,-0.013293235753912605,12787.0,
162,Runs Z-Score,,,,,,1.3121047749469035
168,All Trades,1.0307738207404815,0.030309802442598125,7.458936513426518e-05,0.008940540062482146,43691.0,
168,After Loser,1.061039816705508,0.059249386454103777,0.0001465461618470056,0.017329229802943515,29851.0,
168,After Winner,0.9597607763844522,-0.04107121683975321,-9.285872232919916e-05,-0.012834266429569226,13188.0,
168,Runs Z-Score,,,,,,1.6584087116598087
